what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543134913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543147736
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357543161355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543163461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1357543163492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543163913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357543164350
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357543165364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543166362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543168531
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357543177735
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357543180075
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357543198467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357543210198
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357543212897
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357543214332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357543222538
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1357543222772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357543222990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543225471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543225596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357543225923
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1357543226173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543228450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543228560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357543228950
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1357543229215
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357543230697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543235704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543236531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357543239636
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357543240572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357543246344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357543247061
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357543247358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543247950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543249214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357543252131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357543253816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357543258496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357543259260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357543260072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357543260368
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1357543260664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543262817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543270412
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357543270459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543271473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357543273360
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357543274608
