what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356392530277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356392534701
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1356392535028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356392535341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356392561413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356392587803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1356392649491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356392650302
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1356392650776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356392650987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356392654494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356392656055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356392657598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356392676234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356392682299
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1356392682663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356392685701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356392708690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356392730238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356392736480
